Article Date,Title,Link,Desc
19/1/2004,MA-063.012004: MyCERT Alert - Mass Web Defacements of Malaysian Websites,https://www.mycert.org.my/portal/advisory?id=MA-063.012004,"With regards to the above matter, over the weekends MyCERT had received report of mass web defacements of about 157 websites, involving the .gov, .net,.com, .edu and .org. About 98% of the web defacements involved Linux machines and the rest involved Windows 2000 machines."
11/8/2004,MA-078.082004: MyCERT Alert - Mass Web Defacements of Malaysian Websites,https://www.mycert.org.my/portal/advisory?id=MA-078.082004,"With regards to the above matter, since over the weekends MyCERT had received reports of mass web defacements of about 31 websites of the .gov, .net,.com, .edu and .org domains, involving Linux machines, Windows 2003 and Windows 2000 machines."
9/3/2005,MA-087.032005: MyCERT Advisory - Mass Defacements of Malaysian Websites,https://www.mycert.org.my/portal/advisory?id=MA-087.032005,"MyCERT received reports regarding mass web defacements of Malaysian websites, which had increased tremendously since last week."
21/2/2006,MA-103.022006: MyCERT Advisory - Mass Web Defacements of Malaysian Websites,https://www.mycert.org.my/portal/advisory?id=MA-103.022006,"With regards to the above matter, MyCERT had received reports of mass web defacements involving organisations in Malaysia over the week-end, with 22 .MY websites were defaced. About 98% of the web defacements involved websites running on Linux machines."
19/5/2008,Cyber criminals overseas steal U.S. electronic health records,https://www.databreaches.net/cyber-criminals-overseas-steal-us-electronic-health-records/,"In 2004, when Bush administration officials unveiled a project to provide every American with an electronic health record by 2014, they pledged to put privacy and security first. But the discovery in April of stolen health records containing sensitive medical information about U.S. patients on a computer server in Malaysia controlled by cyber criminals indicates such records so far do not pass the privacy and security test."
18/6/2008,"Finjan Discovers more than 500 Mb of Stolen Medical, Business and Airline Data on Crimeware Servers in Argentina and Malaysia",https://www.databreaches.net/finjan-discovers-more-than-500-mb-of-stolen-medical-business-and-airline-data-on-crimeware-servers-in-argentina-and-malaysia/,"Finjan Inc., a leader in secure web gateway products, today announced its discovery of a server controlled by hackers (Crimeserver) containing more than 500Mb of premium data. The data included healthcare and business related data, as well as personal identifiable information (stolen Social Security Numbers). This data is part of the premium offering that the cybercriminals operating the Crimeservers were selling to the highest bidder online."
15/1/2009,Nabbed over credit card fraud,https://www.databreaches.net/nabbed-over-credit-card-fraud/,A Malaysian man wanted in the United States for credit card fraud amounting to US$150 million (S$223 million) was arrested by the Thai authorities and US Secret Service agents on Tuesday.
2/7/2009,Stolen Malaysian CC Found in AU Raids,https://www.databreaches.net/stolen-malaysian-credit-cards-found-in-au-raids/,"An elaborate fraud syndicate allegedly masterminded by a Sydney man has been brought down, after millions of dollars were spent using more than 1,200 fake credit cards, the Australian Associated Press reported."
11/12/2009,Two Official Kaspersky Websites Hacked,https://www.databreaches.net/two-official-kaspersky-websites-hacked/,"A grey hat hacker has found a critical SQL injection weakness on the official Kaspersky Lab websites in Malaysia and Singapore. Exploiting the vulnerability leads to full compromise of the underlying database, which contains customer information, product keys and other sensitive data."
8/1/2010,Malaysians In Thai Credit Card Scam,https://www.databreaches.net/malaysians-in-thai-credit-card-scam/,"“The syndicate members normally approach workers at hotels and entertainment outlets paying them about 500 baht for each data extracted. Then, the information is passed to Malaysia where fake cards are made,” he said."
4/3/2010,“Delpiero” to be extradited to U.S. by Malaysia,https://www.databreaches.net/delpiero-to-be-extradited-to-u-s-by-malaysia/,The Criminal Court on Thursday decided to extradite a Malaysian suspected computer hacker to the United States for further legal action.
5/4/2010,Malaysian Personal Data Protection Bill passed,https://www.databreaches.net/malaysian-personal-data-protection-bill-passed/,The Personal Data Protection Bill 2009 was passed by the Dewan Rakyat today without any “fireworks” as had been expected.
13/4/2010,"Data stolen from 95,000 credit card customers",https://www.databreaches.net/data-stolen-from-95000-credit-card-customers/,"A single information trafficker managed to steal the personal data of more than 95,000 Korean credit card users – and sell it to thieves who created cloned credit cards, police said Sunday."
13/4/2010,(update) AU: Police in airport swoop on skim suspects,https://www.databreaches.net/update-au-police-in-airport-swoop-on-skim-suspects/,A Malaysian national wanted by Australian police over a huge card-skimming operation has been arrested at Darwin airport.
23/4/2010,MA-228.042010: MyCERT Advisory - Phishing Attempts Targeting Public Bank Malaysia Users,https://www.mycert.org.my/portal/advisory?id=MA-228.042010,"MyCERT has observed a surge in attempts to steal credentials of Public Bank users in the past few weeks. The 'phishers' will normally send an email containing a URL or link to the fake website that looks like the bank's website. The ultimate goal of the phishers is to obtain the credentials of the users such as username, password and the transaction code when unsuspecting users log into the fake website."
